Gene,Ensembl ID,Probe sets,Codewords,Tissues,Cell types
Plp1,ENSMUSG00000031425,2,1,Heart,cardiac neuron
Plvap,ENSMUSG00000034845,8,1,Kidney;Lung,fenestrated cell;type II pneumocyte
Pmp22,ENSMUSG00000018217,8,1,Limb Muscle,Schwann cell
Pnmal2,ENSMUSG00000070802,8,1,Pancreas,pancreatic D cell
Podxl,ENSMUSG00000025608,8,1,Kidney,mesangial cell
Pou3f3,ENSMUSG00000045515,8,1,Brain,glutamatergic neuron
Ppargc1a,ENSMUSG00000029167,8,1,Kidney,kidney loop of Henle thick ascending limb epithelial cell
Ppbp,ENSMUSG00000029372,8,1,Heart,cardiac neuron
Ppp1r1a,ENSMUSG00000022490,8,1,Lymph Node;Kidney,subcapsular floor lymphatic endothelial cell;kidney loop of Henle ascending limb epithelial cell
Prap1,ENSMUSG00000025467,4,1,Large Intestine,enterocyte of epithelium of large intestine
Prg2,ENSMUSG00000027073,8,1,Bone Marrow;Kidney;Lung;Spleen,plasma cell;plasma cell;plasma cell;plasma cell
Prom2,ENSMUSG00000027376,8,1,Kidney;Skin of Body,kidney loop of Henle ascending limb epithelial cell;keratinocyte stem cell
Prox1,ENSMUSG00000010175,8,1,Eye,lens of eye
Prss23,ENSMUSG00000039405,8,1,Lymph Node;Lung,subcapsular ceiling lymphatic endothelial cell;vein endothelial cell
Prss3,ENSMUSG00000071519,7,1,Pancreas,pancreatic stellate cell
Prx,ENSMUSG00000053198,8,1,Lung,bronchial smooth muscle cell
Psmb8,ENSMUSG00000024338,8,1,Lung,dendritic cell
Ptn,ENSMUSG00000029838,8,1,Lymph Node;Brain;Brain,transition zone lymphatic endothelial cell;oligodendrocyte;astrocyte
Ptprn2,ENSMUSG00000056553,8,1,Pancreas;Brain,pancreatic D cell;glutamatergic neuron
Pvalb,ENSMUSG00000005716,4,1,Brain,GABAergic neuron
Pygm,ENSMUSG00000032648,8,1,Limb Muscle,cell of skeletal muscle
Rab3b,ENSMUSG00000003411,8,1,Pancreas,pancreatic D cell
Rac2,ENSMUSG00000033220,8,1,Bone Marrow;Large Intestine,hematopoietic precursor cell;hematopoietic stem cell large
Rasd1,ENSMUSG00000049892,8,1,Kidney,mesangial cell
Rbp1,ENSMUSG00000046402,8,1,Mammary Gland,basal cell
Rbp2,ENSMUSG00000032454,4,1,Large Intestine,enterocyte of epithelium of large intestine
Rbp7,ENSMUSG00000028996,4,1,Heart,endothelial cell of coronary artery
Reg3g,ENSMUSG00000030017,8,1,Lymph Node,oxazolone-induced lymphatic endothelial subset 1
Retn,ENSMUSG00000012705,8,1,Adipose Tissue,myeloid cell
Retnla,ENSMUSG00000061100,8,1,Adipose Tissue;Lung,myeloid cell;lung macrophage
Rgs5,ENSMUSG00000026678,8,1,Lymph Node;Heart,oxazolone-induced lymphatic endothelial subset 1;smooth muscle cell
Rhcg,ENSMUSG00000030549,8,1,Kidney,kidney collecting duct principal cell
Rhd,ENSMUSG00000028825,8,1,Bone Marrow;Adipose Tissue;Spleen,erythroblast;erythroblast;erythroblast
Rho,ENSMUSG00000030324,8,1,Eye,rod cells of the retina
Riiad1,ENSMUSG00000028139,6,1,Lung,ciliated columnar cell of tracheobronchial tree
Rsad2,ENSMUSG00000020641,8,1,Lymph Node;Kidney,oxazolone-induced lymphatic endothelial subset 2;fenestrated cell
Runx2,ENSMUSG00000039153,8,1,Liver;Lung,plasmacytoid dendritic cell;plasmacytoid dendritic cell
S100a14,ENSMUSG00000042306,7,1,Tongue;Skin of Body,basal cell of epidermis;basal cell of epidermis
S100a4,ENSMUSG00000001020,6,1,Lymph Node;Lung,collecting vessel lymphatic endothelial cell;classical monocyte
Satb1,ENSMUSG00000023927,8,1,Thymus;Brain,double negative thymocyte;glutamatergic neuron
Sbsn,ENSMUSG00000046056,8,1,Skin of Body,epidermal cell
Scg2,ENSMUSG00000050711,8,1,Pancreas;Brain;Brain,type B pancreatic cell;GABAergic neuron;glutamatergic neuron
Scg3,ENSMUSG00000032181,8,1,Pancreas;Brain;Brain,pancreatic PP cell;GABAergic neuron;glutamatergic neuron
Scg5,ENSMUSG00000023236,8,1,Pancreas;Brain;Brain,pancreatic PP cell;GABAergic neuron;glutamatergic neuron
Scgb3a2,ENSMUSG00000038791,8,1,Lung,club cell
Scin,ENSMUSG00000002565,8,1,Kidney,kidney cortex artery cell
Sct,ENSMUSG00000038580,1,1,Large Intestine,large intestine goblet cell
Sdc1,ENSMUSG00000020592,8,1,Skin of Body,keratinocyte stem cell
Selenbp1,ENSMUSG00000068874,8,1,Lung,club cell
Serpina10,ENSMUSG00000061947,8,1,Liver,duct epithelial cell
